Variables: 56, expected states 16777216
Computed state count: 547187354725515260
Start backward reachability: (states=1, size=63)
 >> (progress=97.33%%, states=59560426765025280, size=127)
 >> (progress=97.33%%, states=59574342459064320, size=152)
 >> (progress=97.33%%, states=59575115553177600, size=160)
 >> (progress=97.33%%, states=59578014656102400, size=169)
 >> (progress=97.33%%, states=59578981023744000, size=112)
 >> (progress=97.33%%, states=59582073400197120, size=117)
 >> (progress=97.33%%, states=59583619588423680, size=118)
 >> (progress=97.33%%, states=59586093489586180, size=125)
 >> (progress=97.33%%, states=59586402727231490, size=126)
 >> (progress=97.33%%, states=59586557346054140, size=122)
 >> (progress=97.33%%, states=59589069901922300, size=151)
 >> (progress=97.33%%, states=59589379139567620, size=136)
 >> (progress=97.33%%, states=59589408130596860, size=156)
 >> (progress=97.33%%, states=59589437121626110, size=137)
 >> (progress=97.33%%, states=59589475776331780, size=136)
 >> (progress=97.33%%, states=59589495103684610, size=116)
 >> (progress=97.34%%, states=59787097959038980, size=118)
 >> (progress=97.34%%, states=59960000457474050, size=99)
 >> (progress=97.34%%, states=59972350635933700, size=97)
 >> (progress=97.34%%, states=59972408617992190, size=121)
 >> (progress=97.34%%, states=59972466600050690, size=112)
 >> (progress=97.34%%, states=59972553573138430, size=123)
 >> (progress=97.34%%, states=59972621218873340, size=121)
 >> (progress=97.34%%, states=59972756510343170, size=119)
 >> (progress=97.34%%, states=59972814492401660, size=99)
 >> Done. (states=59972814492401660, size=99)
 + SCC increased to (states=1, size=63)
Start backward reachability: (states=59972814492401660, size=99)
 >> (progress=97.36%%, states=60798594969501700, size=17)
 >> (progress=97.50%%, states=68398419340689410, size=15)
 >> Done. (states=68398419340689410, size=15)
Start forward reachability: (states=68398419340689410, size=15)
 >> Done. (states=68398419340689410, size=15)
 + SCC increased to (states=59972814492401660, size=99)
Start backward reachability: (states=68398419340689410, size=15)
 >> Done. (states=68398419340689410, size=15)
